Adams County, IL Sales Tax Rate		6.500%
Alexander County, IL Sales Tax Rate	6.250%
Bond County, IL Sales Tax Rate		7.250%
Boone County, IL Sales Tax Rate		7.750%
Brown County, IL Sales Tax Rate		7.500%
Bureau County, IL Sales Tax Rate	7.250%
Calhoun County, IL Sales Tax Rate	8.000%
Carroll County, IL Sales Tax Rate	6.500%
Cass County, IL Sales Tax Rate		8.250%
Champaign County, IL Sales Tax Rate	7.500%
Christian County, IL Sales Tax Rate	7.250%
Clark County, IL Sales Tax Rate		7.250%
Clay County, IL Sales Tax Rate		6.750%
Clinton County, IL Sales Tax Rate	6.250%
Coles County, IL Sales Tax Rate		7.250%
Cook County, IL Sales Tax Rate		9.000%
Crawford County, IL Sales Tax Rate	6.250%
Cumberland County, IL Sales Tax Rate	7.250%
De Witt County, IL Sales Tax Rate	6.250%
DeKalb County, IL Sales Tax Rate	6.250%
Douglas County, IL Sales Tax Rate	7.250%
DuPage County, IL Sales Tax Rate	7.000%
Edgar County, IL Sales Tax Rate		8.250%
Edwards County, IL Sales Tax Rate	7.250%
Effingham County, IL Sales Tax Rate	6.500%
Fayette County, IL Sales Tax Rate	7.250%
Ford County, IL Sales Tax Rate		6.250%
Franklin County, IL Sales Tax Rate	8.250%
Fulton County, IL Sales Tax Rate	7.750%
Gallatin County, IL Sales Tax Rate	7.250%
Greene County, IL Sales Tax Rate	7.250%
Grundy County, IL Sales Tax Rate	6.250%
Hamilton County, IL Sales Tax Rate	8.250%
Hancock County, IL Sales Tax Rate	6.250%
Hardin County, IL Sales Tax Rate	8.250%
Henderson County, IL Sales Tax Rate	7.250%
Henry County, IL Sales Tax Rate		7.750%
Iroquois County, IL Sales Tax Rate	6.500%
Jackson County, IL Sales Tax Rate	7.250%
Jasper County, IL Sales Tax Rate	7.250%
Jefferson County, IL Sales Tax Rate	6.750%
Jersey County, IL Sales Tax Rate	8.000%
Jo Daviess County, IL Sales Tax Rate	7.250%
Johnson County, IL Sales Tax Rate	7.750%
Kane County, IL Sales Tax Rate		7.000%
Kankakee County, IL Sales Tax Rate	6.250%
Kendall County, IL Sales Tax Rate	7.250%
Knox County, IL Sales Tax Rate		7.750%
Lake County, IL Sales Tax Rate		7.000%
LaSalle County, IL Sales Tax Rate	6.500%
Lawrence County, IL Sales Tax Rate	7.250%
Lee County, IL Sales Tax Rate		7.750%
Livingston County, IL Sales Tax Rate	7.250%
Logan County, IL Sales Tax Rate		8.250%
Macon County, IL Sales Tax Rate		7.750%
Macoupin County, IL Sales Tax Rate	7.250%
Madison County, IL Sales Tax Rate	6.850%
Marion County, IL Sales Tax Rate	7.500%
Marshall County, IL Sales Tax Rate	6.250%
Mason County, IL Sales Tax Rate		7.250%
Massac County, IL Sales Tax Rate	6.250%
McDonough County, IL Sales Tax Rate	8.000%
McHenry County, IL Sales Tax Rate	7.000%
McLean County, IL Sales Tax Rate	6.250%
Menard County, IL Sales Tax Rate	8.250%
Mercer County, IL Sales Tax Rate	7.250%
Monroe County, IL Sales Tax Rate	7.500%
Montgomery County, IL Sales Tax Rate	7.250%
Morgan County, IL Sales Tax Rate	7.250%
Moultrie County, IL Sales Tax Rate	6.750%
Ogle County, IL Sales Tax Rate		6.250%
Peoria County, IL Sales Tax Rate	7.250%
Perry County, IL Sales Tax Rate		7.750%
Piatt County, IL Sales Tax Rate		7.250%
Pike County, IL Sales Tax Rate		7.750%
Pope County, IL Sales Tax Rate		6.250%
Pulaski County, IL Sales Tax Rate	6.250%
Putnam County, IL Sales Tax Rate	6.250%
Randolph County, IL Sales Tax Rate	7.250%
Richland County, IL Sales Tax Rate	7.750%
Rock Island County, IL Sales Tax Rate	7.250%
Saint Clair County, IL Sales Tax Rate	7.350%
Saline County, IL Sales Tax Rate	8.000%
Sangamon County, IL Sales Tax Rate	7.250%
Schuyler County, IL Sales Tax Rate	7.250%
Scott County, IL Sales Tax Rate		7.250%
Shelby County, IL Sales Tax Rate	7.250%
Stark County, IL Sales Tax Rate		7.500%
Stephenson County, IL Sales Tax Rate	6.750%
Tazewell County, IL Sales Tax Rate	6.750%
Union County, IL Sales Tax Rate		8.500%
Vermilion County, IL Sales Tax Rate	6.500%
Wabash County, IL Sales Tax Rate	7.250%
Warren County, IL Sales Tax Rate	7.250%
Washington County, IL Sales Tax Rate	6.250%
Wayne County, IL Sales Tax Rate		7.000%
White County, IL Sales Tax Rate		7.250%
Whiteside County, IL Sales Tax Rate	7.250%
Will County, IL Sales Tax Rate		7.000%
Williamson County, IL Sales Tax Rate	7.250%
Winnebago County, IL Sales Tax Rate	7.750%
Woodford County, IL Sales Tax Rate	8.250%
